filename;left;top
pdp1140industrial_size=1580_background.png;0; 0
pdp1140industrial_size=1580_background.png;0; 0
pdp1140industrial_size=1580_switch_sr_00_up.png;930; 648
pdp1140industrial_size=1580_switch_sr_01_up.png;883; 649
pdp1140industrial_size=1580_switch_sr_02_up.png;837; 649
pdp1140industrial_size=1580_switch_sr_03_up.png;791; 649
pdp1140industrial_size=1580_switch_sr_04_up.png;742; 649
pdp1140industrial_size=1580_switch_sr_05_up.png;696; 649
pdp1140industrial_size=1580_switch_sr_06_up.png;647; 648
pdp1140industrial_size=1580_switch_sr_07_up.png;600; 649
pdp1140industrial_size=1580_switch_sr_08_up.png;553; 649
pdp1140industrial_size=1580_switch_sr_09_up.png;507; 649
pdp1140industrial_size=1580_switch_sr_10_up.png;460; 650
pdp1140industrial_size=1580_switch_sr_11_up.png;413; 648
pdp1140industrial_size=1580_switch_sr_12_up.png;366; 650
pdp1140industrial_size=1580_switch_sr_13_up.png;319; 648
pdp1140industrial_size=1580_switch_sr_14_up.png;271; 650
pdp1140industrial_size=1580_switch_sr_15_up.png;225; 649
pdp1140industrial_size=1580_switch_sr_16_up.png;179; 650
pdp1140industrial_size=1580_switch_sr_17_up.png;130; 650
pdp1140industrial_size=1580_switch_dep_up.png;1397; 644
pdp1140industrial_size=1580_switch_start_down.png;1256; 646
pdp1140industrial_size=1580_switch_halt_down.png;1209; 647
pdp1140industrial_size=1580_switch_cont_down.png;1162; 646
pdp1140industrial_size=1580_switch_exam_down.png;1113; 647
pdp1140industrial_size=1580_switch_load_adrs_down.png;1069; 647
pdp1140industrial_size=1580_led_virtual_on.png;1319; 443
pdp1140industrial_size=1580_led_console_on.png;1224; 443
pdp1140industrial_size=1580_led_proc_on.png;1131; 443
pdp1140industrial_size=1580_led_user_on.png;1318; 397
pdp1140industrial_size=1580_led_bus_on.png;1225; 398
pdp1140industrial_size=1580_led_run_on.png;1131; 397
pdp1140industrial_size=1580_led_data_00.png;943; 442
pdp1140industrial_size=1580_led_data_01.png;896; 443
pdp1140industrial_size=1580_led_data_02.png;849; 442
pdp1140industrial_size=1580_led_data_03.png;802; 442
pdp1140industrial_size=1580_led_data_04.png;756; 443
pdp1140industrial_size=1580_led_data_05.png;709; 442
pdp1140industrial_size=1580_led_data_06.png;661; 442
pdp1140industrial_size=1580_led_data_07.png;615; 443
pdp1140industrial_size=1580_led_data_08.png;568; 442
pdp1140industrial_size=1580_led_data_09.png;521; 442
pdp1140industrial_size=1580_led_data_10.png;474; 442
pdp1140industrial_size=1580_led_data_11.png;427; 443
pdp1140industrial_size=1580_led_data_12.png;381; 443
pdp1140industrial_size=1580_led_data_13.png;334; 442
pdp1140industrial_size=1580_led_data_14.png;287; 442
pdp1140industrial_size=1580_led_data_15.png;241; 442
pdp1140industrial_size=1580_led_address_00.png;943; 303
pdp1140industrial_size=1580_led_address_01.png;896; 303
pdp1140industrial_size=1580_led_address_02.png;849; 302
pdp1140industrial_size=1580_led_address_03.png;802; 302
pdp1140industrial_size=1580_led_address_04.png;755; 303
pdp1140industrial_size=1580_led_address_05.png;709; 303
pdp1140industrial_size=1580_led_address_06.png;662; 303
pdp1140industrial_size=1580_led_address_07.png;615; 303
pdp1140industrial_size=1580_led_address_08.png;568; 303
pdp1140industrial_size=1580_led_address_09.png;521; 303
pdp1140industrial_size=1580_led_address_10.png;474; 302
pdp1140industrial_size=1580_led_address_11.png;428; 303
pdp1140industrial_size=1580_led_address_12.png;380; 302
pdp1140industrial_size=1580_led_address_13.png;334; 303
pdp1140industrial_size=1580_led_address_14.png;287; 303
pdp1140industrial_size=1580_led_address_15.png;240; 303
pdp1140industrial_size=1580_led_address_16.png;194; 303
pdp1140industrial_size=1580_led_address_17.png;146; 302
