filename;left;top
pdp1170_size=2400_background.png;0; 0
pdp1170_size=2400_background.png;0; 0
pdp1170_size=2400_keyswitch_lock.png;193; 726
pdp1170_size=2400_keyswitch_power.png;196; 725
pdp1170_size=2400_keyswitch_off.png;198; 726
pdp1170_size=2400_switch_start_down.png;2156; 1014
pdp1170_size=2400_switch_sinst_sbuscycle_down.png;2088; 1014
pdp1170_size=2400_switch_load_adrs_down.png;1747; 1015
pdp1170_size=2400_switch_lamptest_up.png;1675; 1013
pdp1170_size=2400_switch_exam_down.png;1815; 1014
pdp1170_size=2400_switch_enable_halt_down.png;2021; 1014
pdp1170_size=2400_switch_dep_up.png;1882; 1013
pdp1170_size=2400_switch_cont_down.png;1953; 1014
pdp1170_size=2400_switch_sr_21_up.png;155; 1015
pdp1170_size=2400_switch_sr_20_up.png;232; 1015
pdp1170_size=2400_switch_sr_19_up.png;302; 1016
pdp1170_size=2400_switch_sr_18_up.png;372; 1014
pdp1170_size=2400_switch_sr_17_up.png;441; 1015
pdp1170_size=2400_switch_sr_16_up.png;510; 1014
pdp1170_size=2400_switch_sr_15_up.png;580; 1013
pdp1170_size=2400_switch_sr_14_up.png;648; 1015
pdp1170_size=2400_switch_sr_13_up.png;718; 1015
pdp1170_size=2400_switch_sr_12_up.png;787; 1015
pdp1170_size=2400_switch_sr_11_up.png;855; 1015
pdp1170_size=2400_switch_sr_10_up.png;925; 1014
pdp1170_size=2400_switch_sr_09_up.png;992; 1014
pdp1170_size=2400_switch_sr_08_up.png;1062; 1014
pdp1170_size=2400_switch_sr_07_up.png;1131; 1014
pdp1170_size=2400_switch_sr_06_up.png;1200; 1013
pdp1170_size=2400_switch_sr_05_up.png;1269; 1013
pdp1170_size=2400_switch_sr_04_up.png;1338; 1014
pdp1170_size=2400_switch_sr_03_up.png;1407; 1014
pdp1170_size=2400_switch_sr_02_up.png;1474; 1014
pdp1170_size=2400_switch_sr_01_up.png;1543; 1013
pdp1170_size=2400_switch_sr_00_up.png;1611; 1013
pdp1170_size=2400_knob_data_2a_bus_reg.png;2064; 717
pdp1170_size=2400_knob_data_3a_data_paths.png;2064; 717
pdp1170_size=2400_knob_data_0a_u_adrs.png;2064; 717
pdp1170_size=2400_knob_data_1a_display_register.png;2064; 717
pdp1170_size=2400_knob_data_2b_bus_reg.png;2064; 717
pdp1170_size=2400_knob_data_3b_data_paths.png;2064; 717
pdp1170_size=2400_knob_data_0b_u_adrs.png;2064; 717
pdp1170_size=2400_knob_data_1b_display_register.png;2064; 717
pdp1170_size=2400_knob_addr_7_prog_phy.png;2076; 460
pdp1170_size=2400_knob_addr_4_cons_phy.png;2076; 460
pdp1170_size=2400_knob_addr_6_kernel_d.png;2076; 460
pdp1170_size=2400_knob_addr_3_super_d.png;2076; 460
pdp1170_size=2400_knob_addr_1_user_d.png;2076; 460
pdp1170_size=2400_knob_addr_0_user_i.png;2076; 460
pdp1170_size=2400_knob_addr_2_super_i.png;2076; 460
pdp1170_size=2400_knob_addr_5_kernel_i.png;2078; 460
pdp1170_size=2400_led_display_register_on.png;1944; 787
pdp1170_size=2400_led_bus_reg_on.png;1792; 791
pdp1170_size=2400_led_u_adrs_on.png;1945; 733
pdp1170_size=2400_led_data_paths_on.png;1792; 737
pdp1170_size=2400_led_prog_phy_on.png;1941; 589
pdp1170_size=2400_led_cons_phy_on.png;1791; 588
pdp1170_size=2400_led_kernel_i_on.png;1944; 535
pdp1170_size=2400_led_kernel_d_on.png;1792; 536
pdp1170_size=2400_led_super_i_on.png;1944; 483
pdp1170_size=2400_led_super_d_on.png;1795; 479
pdp1170_size=2400_led_user_i_on.png;1944; 426
pdp1170_size=2400_led_user_d_on.png;1792; 426
pdp1170_size=2400_led_data_00_on.png;1633; 797
pdp1170_size=2400_led_data_01_on.png;1565; 797
pdp1170_size=2400_led_data_02_on.png;1499; 797
pdp1170_size=2400_led_data_03_on.png;1427; 797
pdp1170_size=2400_led_data_04_on.png;1360; 798
pdp1170_size=2400_led_data_05_on.png;1289; 797
pdp1170_size=2400_led_data_06_on.png;1222; 797
pdp1170_size=2400_led_data_07_on.png;1151; 797
pdp1170_size=2400_led_data_08_on.png;1084; 798
pdp1170_size=2400_led_data_09_on.png;1017; 797
pdp1170_size=2400_led_data_10_on.png;954; 797
pdp1170_size=2400_led_data_11_on.png;882; 797
pdp1170_size=2400_led_data_12_on.png;815; 798
pdp1170_size=2400_led_data_13_on.png;744; 798
pdp1170_size=2400_led_data_14_on.png;673; 797
pdp1170_size=2400_led_data_15_on.png;606; 797
pdp1170_size=2400_led_parity_low_on.png;472; 797
pdp1170_size=2400_led_parity_high_on.png;401; 797
pdp1170_size=2400_led_addr_00_on.png;1633; 607
pdp1170_size=2400_led_addr_01_on.png;1566; 606
pdp1170_size=2400_led_addr_02_on.png;1495; 603
pdp1170_size=2400_led_addr_03_on.png;1427; 603
pdp1170_size=2400_led_addr_04_on.png;1360; 603
pdp1170_size=2400_led_addr_05_on.png;1293; 603
pdp1170_size=2400_led_addr_06_on.png;1222; 603
pdp1170_size=2400_led_addr_07_on.png;1151; 603
pdp1170_size=2400_led_addr_08_on.png;1084; 603
pdp1170_size=2400_led_addr_09_on.png;1017; 603
pdp1170_size=2400_led_addr_10_on.png;950; 603
pdp1170_size=2400_led_addr_11_on.png;879; 606
pdp1170_size=2400_led_addr_12_on.png;812; 603
pdp1170_size=2400_led_addr_13_on.png;744; 603
pdp1170_size=2400_led_addr_14_on.png;674; 603
pdp1170_size=2400_led_addr_15_on.png;607; 603
pdp1170_size=2400_led_addr_16_on.png;539; 603
pdp1170_size=2400_led_addr_17_on.png;472; 603
pdp1170_size=2400_led_addr_18_on.png;401; 603
pdp1170_size=2400_led_addr_19_on.png;330; 599
pdp1170_size=2400_led_addr_20_on.png;263; 602
pdp1170_size=2400_led_addr_21_on.png;192; 599
pdp1170_size=2400_led_addressing_22_on.png;1637; 422
pdp1170_size=2400_led_addressing_18_on.png;1565; 422
pdp1170_size=2400_led_addressing_16_on.png;1499; 418
pdp1170_size=2400_led_data_on.png;1427; 422
pdp1170_size=2400_led_kernel_on.png;1360; 418
pdp1170_size=2400_led_super_on.png;1289; 422
pdp1170_size=2400_led_user_on.png;1222; 418
pdp1170_size=2400_led_master_on.png;1155; 418
pdp1170_size=2400_led_pause_on.png;1088; 418
pdp1170_size=2400_led_run_on.png;1017; 422
pdp1170_size=2400_led_adrs_err_on.png;950; 422
pdp1170_size=2400_led_par_err_on.png;879; 418
