filename;left;top
pdp8i_size=1850_background.png;0; 0
pdp8i_size=1850_background.png;0; 0
pdp8i_size=1850_keylock_panel_lock_on.png;126; 764
pdp8i_size=1850_keylock_panel_lock_off.png;130; 764
pdp8i_size=1850_keylock_power_on.png;126; 678
pdp8i_size=1850_keylock_power_off.png;126; 678
pdp8i_size=1850_lightbulb_run_on.png;1627; 351
pdp8i_size=1850_lightbulb_pause_on.png;1627; 314
pdp8i_size=1850_lightbulb_ion_on.png;1627; 275
pdp8i_size=1850_lightbulb_word_count_on.png;1530; 388
pdp8i_size=1850_lightbulb_break_on.png;1530; 463
pdp8i_size=1850_lightbulb_current_address_on.png;1530; 426
pdp8i_size=1850_lightbulb_defer_on.png;1531; 351
pdp8i_size=1850_lightbulb_execute_on.png;1531; 314
pdp8i_size=1850_lightbulb_fetch_on.png;1532; 276
pdp8i_size=1850_lightbulb_jmp_on.png;1433; 463
pdp8i_size=1850_lightbulb_opr_on.png;1432; 538
pdp8i_size=1850_lightbulb_iot_on.png;1433; 500
pdp8i_size=1850_lightbulb_jms_on.png;1434; 425
pdp8i_size=1850_lightbulb_dca_on.png;1434; 389
pdp8i_size=1850_lightbulb_isz_on.png;1434; 351
pdp8i_size=1850_lightbulb_tad_on.png;1434; 313
pdp8i_size=1850_lightbulb_and_on.png;1435; 276
pdp8i_size=1850_lightbulb_multiplier_quotient_11_on.png;1240; 573
pdp8i_size=1850_lightbulb_multiplier_quotient_10_on.png;1192; 573
pdp8i_size=1850_lightbulb_multiplier_quotient_09_on.png;1144; 573
pdp8i_size=1850_lightbulb_multiplier_quotient_08_on.png;1096; 573
pdp8i_size=1850_lightbulb_multiplier_quotient_07_on.png;1048; 572
pdp8i_size=1850_lightbulb_multiplier_quotient_06_on.png;999; 572
pdp8i_size=1850_lightbulb_multiplier_quotient_05_on.png;951; 572
pdp8i_size=1850_lightbulb_multiplier_quotient_04_on.png;904; 572
pdp8i_size=1850_lightbulb_multiplier_quotient_03_on.png;856; 571
pdp8i_size=1850_lightbulb_multiplier_quotient_02_on.png;808; 571
pdp8i_size=1850_lightbulb_multiplier_quotient_01_on.png;759; 571
pdp8i_size=1850_lightbulb_multiplier_quotient_00_on.png;711; 571
pdp8i_size=1850_lightbulb_step_counter_4_on.png;615; 570
pdp8i_size=1850_lightbulb_step_counter_3_on.png;566; 570
pdp8i_size=1850_lightbulb_step_counter_2_on.png;518; 570
pdp8i_size=1850_lightbulb_step_counter_1_on.png;470; 569
